"Author H-ID","Family name","Given name(s)",Gender,"Country of birth","Place of birth (Location) H-ID","Place of birth RecordTitle"
21,Hosain,Attia,Female,India,22,"Lucknow University"
26,Singh,Kushwant,Male,Pakistan,27,Hadali
32,Sahni,Bhisham,Male,Pakistan,33,Rawalpindi
35,Pritam,Amrita,Female,Pakistan,36,"Mandi Bahauddin"
3152,Sarna,"Mohinder Singh",Male,"British India",3108,Delhi
3156,Manto,"Saadat Hasan",Male,"British India",3157,Ludhiana
