"Location H-ID","Primary place name","Locality name","Location (mappable)"
22,"Lucknow University",,"POINT(80.936033 26.863315)"
27,Hadali,,"POINT(72.192222 32.292222)"
33,Rawalpindi,,"POINT(73.062762 33.616531)"
36,"Mandi Bahauddin",,"POINT(73.483129 32.574158)"
3108,Delhi,,"POINT(77.224701 28.650825)"
3157,Ludhiana,,"POINT(75.857276 30.900965)"
