"Author H-ID","Family name","Given name(s)",Gender,"Country of birth"
21,Hosain,Attia,Female,India
26,Singh,Kushwant,Male,Pakistan
32,Sahni,Bhisham,Male,Pakistan
35,Pritam,Amrita,Female,Pakistan
3152,Sarna,"Mohinder Singh",Male,"British India"
3156,Manto,"Saadat Hasan",Male,"British India"
