"Author H-ID","Family name","Given name(s)","Country of birth"
21,Hosain,Attia,India
26,Singh,Kushwant,Pakistan
32,Sahni,Bhisham,Pakistan
35,Pritam,Amrita,Pakistan
3152,Sarna,"Mohinder Singh",
3156,Manto,"Saadat Hasan",
